Game ID,Name,Playtime (2 weeks),Playtime (forever),Icon URL
953490,CARRION,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/953490/e6f76f606f82cdadbdac5cc829410eac3ab029ac.jpg
232970,Thunder Wolves,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/232970/c9097ccf5e939e7b9e5f286408650ab642e1142c.jpg
4700,Total War: MEDIEVAL II - Definitive Edition,0,2428,http://media.steampowered.com/steamcommunity/public/images/apps/4700/cc9c44b2c3b3b245b82d13c316a9b238705ff877.jpg
