Game ID,Name,Playtime (2 weeks),Playtime (forever),Icon URL
227680,StarForge,0,173,http://media.steampowered.com/steamcommunity/public/images/apps/227680/911658bd1dc011bbc5a74cf7358befb093d64115.jpg
242800,Day One: Garry's Incident,0,70,http://media.steampowered.com/steamcommunity/public/images/apps/242800/9bbd64eb0a9b30983e12186cd7cf77718a66aea2.jpg
602490,Blood Bowl: Death Zone,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/602490/ae8db2ddafacd7633e0a3acb987d3de4bda6a2b4.jpg
