Game ID,Name,Playtime (2 weeks),Playtime (forever),Icon URL
1840,Source Filmmaker,0,7,http://media.steampowered.com/steamcommunity/public/images/apps/1840/a2ac9b9bfd3f560f48d184c90f4e6baaaa4bd92a.jpg
570,Dota 2,0,24525,http://media.steampowered.com/steamcommunity/public/images/apps/570/0bbb630d63262dd66d2fdd0f7d37e8661a410075.jpg
440,Team Fortress 2,0,8811,http://media.steampowered.com/steamcommunity/public/images/apps/440/e3f595a92552da3d664ad00277fad2107345f743.jpg
652980,Loading Screen Simulator,0,19,http://media.steampowered.com/steamcommunity/public/images/apps/652980/a05d56896d73128b477f78062b6cfc72f03c30d1.jpg
313340,Mountain,0,479,http://media.steampowered.com/steamcommunity/public/images/apps/313340/ac536a6c0d25ed161898d0af0f5b8661f07d12b3.jpg
20,Team Fortress Classic,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/20/38ea7ebe3c1abbbbf4eabdbef174c41a972102b9.jpg
325180,AppGameKit Classic,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/325180/56b06e662e5ffa0f3c1a8248ea0a15bdd4760498.jpg
