Game ID,Name,Playtime (2 weeks),Playtime (forever),Icon URL
55000,Flotilla,0,192,http://media.steampowered.com/steamcommunity/public/images/apps/55000/96daf48f9a909cdeedfa2b5223470c45020e90b2.jpg
212680,FTL: Faster Than Light,0,1779,http://media.steampowered.com/steamcommunity/public/images/apps/212680/e8770ddb95fde0804694b116dfe3479f5a65900d.jpg
239820,Game Dev Tycoon,0,480,http://media.steampowered.com/steamcommunity/public/images/apps/239820/f63ee73113b0880922a84e8d6af0d222fef91c40.jpg
265930,Goat Simulator,0,632,http://media.steampowered.com/steamcommunity/public/images/apps/265930/edf6c28b83d5fc221338ff71d01caa11d11d3b50.jpg
12110,Grand Theft Auto: Vice City,0,49,http://media.steampowered.com/steamcommunity/public/images/apps/12110/5f7423da14152cfbe201103ceba3112988624a98.jpg
12120,Grand Theft Auto: San Andreas,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/12120/895e9391da2b8155989022d9dd95b12e09766375.jpg
12240,Grand Theft Auto: Vice City,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/12240/.jpg
12250,Grand Theft Auto: San Andreas,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/12250/.jpg
323320,Grow Home,0,130,http://media.steampowered.com/steamcommunity/public/images/apps/323320/acd05186b5f70b1007745f38cb30c7be5488cb5d.jpg
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,0,383,http://media.steampowered.com/steamcommunity/public/images/apps/214830/6308689dd86dbfb4f18e82ab246bcdd68b46e914.jpg
70,Half-Life,0,892,http://media.steampowered.com/steamcommunity/public/images/apps/70/95be6d131fc61f145797317ca437c9765f24b41c.jpg
220,Half-Life 2,0,1397,http://media.steampowered.com/steamcommunity/public/images/apps/220/fcfb366051782b8ebf2aa297f3b746395858cb62.jpg
340,Half-Life 2: Lost Coast,0,16,http://media.steampowered.com/steamcommunity/public/images/apps/340/795e85364189511f4990861b578084deef086cb1.jpg
380,Half-Life 2: Episode One,0,236,http://media.steampowered.com/steamcommunity/public/images/apps/380/795e85364189511f4990861b578084deef086cb1.jpg
420,Half-Life 2: Episode Two,0,353,http://media.steampowered.com/steamcommunity/public/images/apps/420/795e85364189511f4990861b578084deef086cb1.jpg
222160,"Hamlet or the last game without MMORPG features, shaders and product placement",0,195,http://media.steampowered.com/steamcommunity/public/images/apps/222160/0c82e395002331d77d2d851b9df741eaa7dbec74.jpg
219150,Hotline Miami,0,282,http://media.steampowered.com/steamcommunity/public/images/apps/219150/493c0a3e823c60c14f91204526f26cc064ed7c84.jpg
204530,Infested Planet,0,687,http://media.steampowered.com/steamcommunity/public/images/apps/204530/1b0a0c55cf13f519b3b51a944692ce679297c8ab.jpg
21130,LEGO® Harry Potter: Years 1-4,0,64,http://media.steampowered.com/steamcommunity/public/images/apps/21130/49af7348b4b6c51181c6210cb91b858d497610a2.jpg
204120,LEGO® Harry Potter: Years 5-7,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/204120/eb9617f00259ad2dee791ec91b4862447080f0cb.jpg
48000,LIMBO,0,162,http://media.steampowered.com/steamcommunity/public/images/apps/48000/463f57855017564301b17050fba73804b3bd86d6.jpg
221260,Little Inferno,0,173,http://media.steampowered.com/steamcommunity/public/images/apps/221260/478d0b4bbe94d5d6c5248e07f0da75cbe9f6ba95.jpg
233150,LUFTRAUSERS,0,288,http://media.steampowered.com/steamcommunity/public/images/apps/233150/bcf78988270db7bbac1a9622defc770b96e84702.jpg
43110,Metro 2033,0,16,http://media.steampowered.com/steamcommunity/public/images/apps/43110/a70fe6dc214f24107d20596f3040dbfa220ed42d.jpg
286690,Metro 2033 Redux,0,1021,http://media.steampowered.com/steamcommunity/public/images/apps/286690/353ea01a045c084215bca95519808eaa7319ce0c.jpg
287390,Metro: Last Light Redux,0,526,http://media.steampowered.com/steamcommunity/public/images/apps/287390/7139b7af2ad9d248d21e98302b964cd61474318c.jpg
241930,Middle-earth™: Shadow of Mordor™,0,1316,http://media.steampowered.com/steamcommunity/public/images/apps/241930/161afab3c9f725f593635723cc64a7fbeb324ead.jpg
226740,Monster Loves You!,0,59,http://media.steampowered.com/steamcommunity/public/images/apps/226740/b9787d4aea81e82e615a7f0501f2cd5df4280a61.jpg
253330,Neverending Nightmares,0,153,http://media.steampowered.com/steamcommunity/public/images/apps/253330/d6dcfb21c8e11eeefc83a5e0357f296ded8fb76e.jpg
102600,Orcs Must Die!,0,1875,http://media.steampowered.com/steamcommunity/public/images/apps/102600/0d14a70abb580146741de26bbad46d0ad81a67c7.jpg
201790,Orcs Must Die! 2,0,1936,http://media.steampowered.com/steamcommunity/public/images/apps/201790/fabd8658e8e76f7c99c56f26b69d29882756f9b4.jpg
491950,Orwell,0,216,http://media.steampowered.com/steamcommunity/public/images/apps/491950/b441225f23801a11dce373c2ee9caea2061b3858.jpg
238320,Outlast,0,330,http://media.steampowered.com/steamcommunity/public/images/apps/238320/46bd3df92d4693d3b2af113bf8f31c2cbdadb20a.jpg
27000,The Path,0,545,http://media.steampowered.com/steamcommunity/public/images/apps/27000/3921031bd7f10f594fb248d6378dd248c233a996.jpg
24240,PAYDAY: The Heist,0,3335,http://media.steampowered.com/steamcommunity/public/images/apps/24240/a07ceea8808f1a2104ed1c864756f263ec67df49.jpg
22120,Penumbra: Black Plague,0,337,http://media.steampowered.com/steamcommunity/public/images/apps/22120/ec88493c14d9e8b7f90bcc4c12841931dcf53611.jpg
22180,Penumbra: Overture,0,330,http://media.steampowered.com/steamcommunity/public/images/apps/22180/2db20eef4e5768a82d2cba3b62ec0e10bafc0c94.jpg
246620,Plague Inc: Evolved,0,2188,http://media.steampowered.com/steamcommunity/public/images/apps/246620/9e39dcfd5a300732c16111b268853ef11a0ba4d0.jpg
3590,Plants vs. Zombies: Game of the Year,0,30,http://media.steampowered.com/steamcommunity/public/images/apps/3590/d2a9c24de11210560f579e7fd9303960c5060155.jpg
400,Portal,0,424,http://media.steampowered.com/steamcommunity/public/images/apps/400/cfa928ab4119dd137e50d728e8fe703e4e970aff.jpg
620,Portal 2,0,1185,http://media.steampowered.com/steamcommunity/public/images/apps/620/2e478fc6874d06ae5baf0d147f6f21203291aa02.jpg
