Game ID,Name,Playtime (2 weeks),Playtime (forever),Icon URL
1802700,I Told You So!,3,26,http://media.steampowered.com/steamcommunity/public/images/apps/1802700/e09aea7d8c82394ea68c4f696f10d74cabaf5271.jpg
2903060,The Final Prize is Soup,1,174,http://media.steampowered.com/steamcommunity/public/images/apps/2903060/061734599cc369e1777c2029c1cde8acf940be62.jpg
1259430,First Snow,1,276,http://media.steampowered.com/steamcommunity/public/images/apps/1259430/fa200fe612fa43a073e0242ce8aaf3ca0246b494.jpg
