Game ID,Name,Playtime (2 weeks),Playtime (forever),Icon URL
451760,Highway Blossoms,224,685,http://media.steampowered.com/steamcommunity/public/images/apps/451760/287a9f8c2895f3f6f8720f4ce9a1a9e211150b0f.jpg
1142710,Total War: WARHAMMER III,124,8069,http://media.steampowered.com/steamcommunity/public/images/apps/1142710/6db17b5e504c0850a9a60edac9152de019d0d3a8.jpg
427520,Factorio,66,66,http://media.steampowered.com/steamcommunity/public/images/apps/427520/267f5a89f36ab287e600a4e7d4e73d3d11f0fd7d.jpg
377070,Noctropolis,8,8,http://media.steampowered.com/steamcommunity/public/images/apps/377070/4da1fbc1b16fee5c8fee0d9d6c32a27313f8e773.jpg
310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,7,7,http://media.steampowered.com/steamcommunity/public/images/apps/310360/8347887b669eb9459f5359516bb7bb99cc0dc8e3.jpg
1802700,I Told You So!,3,26,http://media.steampowered.com/steamcommunity/public/images/apps/1802700/e09aea7d8c82394ea68c4f696f10d74cabaf5271.jpg
2903060,The Final Prize is Soup,1,174,http://media.steampowered.com/steamcommunity/public/images/apps/2903060/061734599cc369e1777c2029c1cde8acf940be62.jpg
1259430,First Snow,1,276,http://media.steampowered.com/steamcommunity/public/images/apps/1259430/fa200fe612fa43a073e0242ce8aaf3ca0246b494.jpg
